respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
12785,1502,12785-1502,1501,1501,3,35,2,3,0,.73667377,.69473684,.7,.45579195,.48947367,0,0,.73667377,.69473684,.24420805,.21052633,0,0,.050360069,.28514826,.056961197,.27538195
12785,1503,12785-1503,1501,1501,3,35,2,3,0,.81542552,.87894738,.7,.39441913,.16842106,0,0,.81542552,.87894738,.30558085,.53157896,0,0,.25185001,.43464923,.2150856,.40156063
12785,1504,12785-1504,1501,1501,3,35,2,3,0,.50609195,.47777778,.7,.46630952,.34736842,0,0,.50609195,.47777778,.23369049,.35263157,0,0,.17403057,.43318871,.17263596,.42280748
12785,1505,12785-1505,1501,1501,3,35,2,3,0,.14420828,.14444444,.7,.48329145,.5266667,0,0,.14420828,.14444444,.21670856,.1733333,0,0,.018927971,.25824794,.012347845,.30109224
12785,1506,12785-1506,1501,1501,3,35,2,3,0,.38854042,.43125001,.7,.60604191,.67500001,0,0,.38854042,.43125001,.093958095,.024999987,0,0,.065490074,.3195942,.082611911,.37144259
12785,1507,12785-1507,1501,1501,3,35,2,3,0,.78887701,.90526313,.7,.38956836,.19473684,0,0,.78887701,.90526313,.31043163,.50526315,0,0,.038991302,.30461016,.046625126,.28360924
12786,1501,12786-1501,0,1503,3,34,2,2,1,.31963715,.32105261,99,.55755055,.67894733,0,0,.68036282,.67894739,99,99,0,0,.15775408,.35847148,.12981699,.30850485
12786,1502,12786-1502,0,1503,3,34,2,2,1,.73667377,.69473684,99,.45579195,.48947367,0,0,.26332623,.30526316,99,99,0,0,.050787363,.28684634,.042231508,.27624768
12786,1503,12786-1503,0,1503,3,34,2,2,1,.81542552,.87894738,99,.39441913,.16842106,1,0,.18457448,.12105262,99,99,1,3,.2503888,.43422118,.25427255,.48277569
12786,1504,12786-1504,0,1503,3,34,2,2,1,.50609195,.47777778,99,.46630952,.34736842,0,0,.49390805,.52222222,99,99,0,0,.17390198,.43600577,.19818886,.43881834
12786,1505,12786-1505,0,1503,3,34,2,2,1,.14420828,.14444444,99,.48329145,.5266667,99,0,.85579169,.85555553,99,99,0,0,.018665897,99,.014576311,99
